id,date,source,headline,content,crypto,topic,sentiment,confidence,impact_score
1,2026-03-01,CoinDesk,Bitcoin gains momentum after positive inflows,Institutional investors increase BTC exposure driving bullish sentiment,BTC,market,2,0.92,9
2,2026-03-02,CoinTelegraph,Ethereum upgrade boosts scalability,Network improvements lead to faster transactions on ETH,ETH,technology,2,0.90,8
3,2026-03-03,Reuters,Solana ecosystem expands rapidly,New projects increase adoption of SOL network,SOL,adoption,2,0.88,8
4,2026-03-04,Bloomberg,Cardano sees rising developer interest,More developers join ADA ecosystem for dApp creation,ADA,development,2,0.86,7
5,2026-03-05,CoinDesk,Stable growth observed in crypto market,Market shows steady upward movement without volatility,BTC,market,1,0.80,6
6,2026-03-06,CoinTelegraph,Bitcoin breaks resistance level,BTC crosses key price barrier attracting buyers,BTC,market,2,0.94,9
7,2026-03-07,Reuters,ETH adoption increases in DeFi,Ethereum used widely in decentralized finance apps,ETH,defi,2,0.89,8
8,2026-03-08,Bloomberg,Positive sentiment rises in crypto community,Social media shows bullish outlook across assets,BTC,sentiment,2,0.85,7
9,2026-03-09,CoinDesk,New blockchain partnerships announced,Companies collaborate to improve crypto infrastructure,SOL,adoption,2,0.87,8
10,2026-03-10,CoinTelegraph,Market recovery strengthens investor confidence,Crypto prices rebound after recent dip,BTC,market,2,0.91,9
11,2026-03-11,Reuters,Institutional adoption increases steadily,Banks explore crypto integration solutions,BTC,adoption,2,0.88,8
12,2026-03-12,Bloomberg,ETH gas fees decrease significantly,Lower transaction costs improve usability,ETH,technology,2,0.90,7
13,2026-03-13,CoinDesk,Bitcoin ETF rumors boost optimism,Speculation drives positive trading behavior,BTC,market,2,0.93,9
14,2026-03-14,CoinTelegraph,Altcoin rally observed across market,Multiple tokens show strong upward movement,ADA,market,2,0.86,8
15,2026-03-15,Reuters,DeFi adoption reaches new highs,More users participate in decentralized finance,ETH,defi,2,0.88,8
16,2026-03-16,Bloomberg,Positive regulatory clarity expected,Market reacts well to upcoming policy updates,BTC,regulation,2,0.84,7
17,2026-03-17,CoinDesk,Blockchain innovation drives optimism,New technologies enhance ecosystem growth,SOL,technology,2,0.87,8
18,2026-03-18,CoinTelegraph,Bitcoin mining efficiency improves,New hardware reduces energy consumption,BTC,technology,2,0.89,8
19,2026-03-19,Reuters,Market sentiment turns bullish again,Investors regain confidence in crypto assets,BTC,sentiment,2,0.91,9
20,2026-03-20,Bloomberg,ETH ecosystem shows strong growth,Developer activity increases significantly,ETH,development,2,0.88,8
21,2026-03-21,CoinDesk,Solana transactions hit record high,Network usage reaches new peak,SOL,market,2,0.92,9
22,2026-03-22,CoinTelegraph,Cardano sees strong community support,User engagement increases across platform,ADA,adoption,2,0.85,7
23,2026-03-23,Reuters,Bitcoin demand rises globally,Global interest in BTC increases sharply,BTC,market,2,0.93,9
24,2026-03-24,Bloomberg,DeFi innovation accelerates growth,New protocols improve financial accessibility,ETH,defi,2,0.87,8
25,2026-03-25,CoinDesk,Crypto market enters bullish phase,Overall upward trend continues,BTC,market,2,0.90,8
26,2026-03-26,CoinTelegraph,Institutional confidence strengthens,Large funds increase crypto holdings,BTC,adoption,2,0.91,9
27,2026-03-27,Reuters,ETH scalability solutions succeed,Layer 2 improvements enhance performance,ETH,technology,2,0.88,8
28,2026-03-28,Bloomberg,Positive outlook for blockchain sector,Industry shows strong growth potential,SOL,market,2,0.86,8
29,2026-03-29,CoinDesk,Bitcoin rally continues steadily,Price maintains upward trajectory,BTC,market,2,0.92,9
30,2026-03-30,CoinTelegraph,Market optimism increases further,Investors expect continued growth,BTC,sentiment,2,0.90,8
31,2026-03-01,Reuters,Crypto market shows no major movement,Prices remain stable across major assets,BTC,market,1,0.70,4
32,2026-03-02,CoinDesk,ETH network activity remains unchanged,No significant updates observed in Ethereum ecosystem,ETH,market,1,0.72,4
33,2026-03-03,Bloomberg,Solana trading volume steady,No major spikes in SOL transactions,SOL,market,1,0.68,4
34,2026-03-04,CoinTelegraph,Cardano price moves sideways,ADA shows no clear trend direction,ADA,market,1,0.71,4
35,2026-03-05,Reuters,Bitcoin maintains current level,BTC trades within narrow range,BTC,market,1,0.73,5
36,2026-03-06,CoinDesk,Market remains balanced,Crypto assets show mixed but stable performance,BTC,market,1,0.75,5
37,2026-03-07,Bloomberg,ETH gas fees remain unchanged,No notable change in transaction costs,ETH,technology,1,0.70,4
38,2026-03-08,CoinTelegraph,No significant crypto news reported,Market activity remains quiet,BTC,market,1,0.69,3
39,2026-03-09,Reuters,Stable trading observed in altcoins,No volatility detected across tokens,ADA,market,1,0.72,4
40,2026-03-10,CoinDesk,Bitcoin consolidation continues,BTC price remains range bound,BTC,market,1,0.74,5
41,2026-03-11,Bloomberg,ETH ecosystem stable,No major developments reported,ETH,development,1,0.71,4
42,2026-03-12,CoinTelegraph,Market activity unchanged,Crypto trading volume remains steady,BTC,market,1,0.70,4
43,2026-03-13,Reuters,Solana network stable performance,SOL shows consistent throughput,SOL,technology,1,0.73,5
44,2026-03-14,CoinDesk,Cardano development steady pace,No major announcements from ADA ecosystem,ADA,development,1,0.72,4
45,2026-03-15,Bloomberg,Crypto sentiment neutral overall,Market sentiment balanced without bias,BTC,sentiment,1,0.74,5
46,2026-03-16,CoinTelegraph,No major price change in BTC,Bitcoin remains stable,BTC,market,1,0.71,4
47,2026-03-17,Reuters,ETH trading remains consistent,Ethereum shows no volatility,ETH,market,1,0.73,5
48,2026-03-18,CoinDesk,Market shows equilibrium,Crypto prices remain unchanged,BTC,market,1,0.72,4
49,2026-03-19,Bloomberg,Solana usage steady,No significant change in activity,SOL,adoption,1,0.70,4
50,2026-03-20,CoinTelegraph,Cardano stable ecosystem activity,ADA network remains steady,ADA,development,1,0.71,4



51,2026-03-21,CoinDesk,Bitcoin drops after sudden selloff,Large investors liquidate BTC holdings causing downward pressure,BTC,market,0,0.91,8
52,2026-03-22,Reuters,Ethereum network faces temporary outage,Validators report delays affecting ETH transactions,ETH,technology,0,0.89,8
53,2026-03-23,Bloomberg,Solana experiences congestion issues,Network slowdown reduces transaction throughput,SOL,technology,0,0.87,7
54,2026-03-24,CoinTelegraph,Cardano price falls amid weak demand,ADA sees declining investor interest in short term,ADA,market,0,0.86,7
55,2026-03-25,CoinDesk,Bitcoin volatility increases sharply,BTC sees unstable price movements causing uncertainty,BTC,market,0,0.90,8
56,2026-03-26,Reuters,ETH gas fees spike unexpectedly,Transaction costs rise significantly across Ethereum,ETH,technology,0,0.88,8
57,2026-03-27,Bloomberg,Crypto market declines across major assets,Broad selloff impacts BTC ETH and altcoins,BTC,market,0,0.92,9
58,2026-03-28,CoinTelegraph,Solana faces validator downtime issues,SOL network stability concerns arise after outages,SOL,technology,0,0.87,8
59,2026-03-29,CoinDesk,Cardano development slows down temporarily,Reduced activity observed in ADA ecosystem,ADA,development,0,0.84,7
60,2026-03-30,Reuters,Bitcoin struggles to maintain support level,BTC fails to hold key price zone under pressure,BTC,market,0,0.91,9
61,2026-04-01,Bloomberg,Market shows no clear direction,Crypto assets trade sideways without trend,BTC,market,1,0.70,5
62,2026-04-02,CoinDesk,ETH network remains stable today,Ethereum shows normal transaction activity,ETH,technology,1,0.72,5
63,2026-04-03,CoinTelegraph,Solana trading volume steady,SOL maintains consistent activity levels,SOL,market,1,0.71,5
64,2026-04-04,Reuters,Cardano ecosystem remains unchanged,No major updates in ADA development,ADA,development,1,0.69,4
65,2026-04-05,Bloomberg,Bitcoin consolidates in narrow range,BTC price remains stable without breakout,BTC,market,1,0.73,5
66,2026-04-06,CoinDesk,Crypto sentiment remains neutral,Market participants show balanced outlook,BTC,sentiment,1,0.74,5
67,2026-04-07,CoinTelegraph,ETH gas fees stable today,No major fluctuations in Ethereum costs,ETH,technology,1,0.71,4
68,2026-04-08,Reuters,Solana network operates normally,SOL continues steady transaction processing,SOL,technology,1,0.72,5
69,2026-04-09,Bloomberg,Cardano community activity stable,ADA engagement remains consistent,ADA,adoption,1,0.70,4
70,2026-04-10,CoinDesk,Bitcoin trading remains flat,BTC shows no major price movement,BTC,market,1,0.73,5
71,2026-04-11,CoinTelegraph,Ethereum upgrade expectations build,Investors anticipate future ETH improvements,ETH,technology,2,0.88,8
72,2026-04-12,Reuters,Bitcoin sees renewed buying interest,BTC gains momentum from institutional inflows,BTC,market,2,0.92,9
73,2026-04-13,Bloomberg,Solana ecosystem expands rapidly,New projects boost SOL adoption,SOL,adoption,2,0.89,8
74,2026-04-14,CoinDesk,Cardano developer activity rises,More builders join ADA ecosystem,ADA,development,2,0.87,8
75,2026-04-15,CoinTelegraph,Crypto market rebounds strongly,Assets recover after previous decline,BTC,market,2,0.91,9
76,2026-04-16,Reuters,ETH DeFi usage increases significantly,Ethereum sees higher decentralized finance activity,ETH,defi,2,0.90,8
77,2026-04-17,Bloomberg,Bitcoin breaks key resistance level,BTC price moves upward attracting buyers,BTC,market,2,0.93,9
78,2026-04-18,CoinDesk,Solana transactions hit new highs,SOL network records peak usage,SOL,market,2,0.92,9
79,2026-04-19,CoinTelegraph,Cardano adoption grows steadily,ADA sees increasing user engagement,ADA,adoption,2,0.86,7
80,2026-04-20,Reuters,ETH scalability improves network performance,Ethereum upgrades enhance transaction speed,ETH,technology,2,0.90,8
81,2026-04-21,Bloomberg,Bitcoin ETF speculation boosts optimism,Market reacts positively to ETF news,BTC,market,2,0.94,9
82,2026-04-22,CoinDesk,Crypto market enters bullish phase,Strong upward trend observed across assets,BTC,market,2,0.91,9
83,2026-04-23,CoinTelegraph,Solana developer ecosystem grows fast,SOL attracts more blockchain projects,SOL,development,2,0.88,8
84,2026-04-24,Reuters,ETH gas fees decrease improving usability,Lower costs attract more users,ETH,technology,2,0.89,8
85,2026-04-25,Bloomberg,Bitcoin adoption increases globally,More institutions integrate BTC,BTC,adoption,2,0.93,9
86,2026-04-26,CoinDesk,Cardano sees strong community growth,ADA user base expands rapidly,ADA,adoption,2,0.85,7
87,2026-04-27,CoinTelegraph,Crypto sentiment turns bullish again,Investors regain confidence in market,BTC,sentiment,2,0.90,8
88,2026-04-28,Reuters,ETH ecosystem shows strong expansion,Developer activity increases significantly,ETH,development,2,0.88,8
89,2026-04-29,Bloomberg,Solana usage reaches record levels,SOL sees unprecedented network activity,SOL,market,2,0.92,9
90,2026-04-30,CoinDesk,Bitcoin rally continues steadily,BTC maintains strong upward momentum,BTC,market,2,0.93,9
91,2026-05-01,CoinDesk,Bitcoin sees strong institutional inflows,Pension funds increase BTC allocation amid market optimism,BTC,market,2,0.93,9
92,2026-05-02,Reuters,Ethereum network upgrades improve throughput,ETH scaling solutions reduce congestion significantly,ETH,technology,2,0.91,8
93,2026-05-03,CoinTelegraph,Solana records surge in daily active users,More developers and users join SOL ecosystem,SOL,adoption,2,0.89,8
94,2026-05-04,Bloomberg,Cardano ecosystem expands with new dApps,ADA sees growth in decentralized application deployment,ADA,development,2,0.86,7
95,2026-05-05,CoinDesk,Crypto market shows stable recovery,Prices stabilize after recent volatility across assets,BTC,market,1,0.78,6
96,2026-05-06,Reuters,Bitcoin breaks new resistance level,BTC reaches higher price zone attracting buyers,BTC,market,2,0.94,9
97,2026-05-07,CoinTelegraph,Ethereum DeFi usage hits new high,ETH-based protocols see record transaction volume,ETH,defi,2,0.90,8
98,2026-05-08,Bloomberg,Positive sentiment grows in crypto market,Investor confidence improves across major tokens,BTC,sentiment,2,0.85,7
99,2026-05-09,CoinDesk,Solana partnerships increase ecosystem strength,New collaborations boost SOL network utility,SOL,adoption,2,0.88,8
100,2026-05-10,Reuters,Crypto market rebounds after correction,BTC and ETH recover from short-term decline,BTC,market,2,0.92,9



101,2026-05-11,Bloomberg,Institutional interest in Bitcoin rises further,Large funds continue accumulating BTC positions,BTC,adoption,2,0.90,8
102,2026-05-12,CoinTelegraph,Ethereum gas fees remain low after upgrade,Users benefit from reduced transaction costs,ETH,technology,2,0.88,7
103,2026-05-13,CoinDesk,Solana network stability improves significantly,SOL infrastructure upgrades reduce downtime,SOL,technology,2,0.87,8
104,2026-05-14,Reuters,Cardano sees steady developer onboarding,New projects launched within ADA ecosystem,ADA,development,2,0.85,7
105,2026-05-15,Bloomberg,Crypto market remains neutral amid uncertainty,Prices show mixed movement across assets,BTC,market,1,0.74,5
106,2026-05-16,CoinTelegraph,Bitcoin volatility increases slightly,BTC experiences short-term price fluctuations,BTC,market,0,0.83,7
107,2026-05-17,CoinDesk,Ethereum adoption in enterprise grows,Companies integrate ETH based solutions,ETH,adoption,2,0.89,8
108,2026-05-18,Reuters,Solana gains traction in NFT sector,SOL becomes popular for NFT marketplaces,SOL,adoption,2,0.88,8
109,2026-05-19,Bloomberg,Crypto sentiment remains cautiously optimistic,Market participants expect gradual growth,BTC,sentiment,1,0.80,6
110,2026-05-20,CoinTelegraph,Bitcoin sees minor correction after rally,BTC price drops slightly after strong gains,BTC,market,0,0.84,7
111,2026-05-21,CoinDesk,Ethereum staking participation increases,More users lock ETH for network validation,ETH,technology,2,0.91,8
112,2026-05-22,Reuters,Solana ecosystem attracts new capital inflows,Investors fund new SOL based projects,SOL,adoption,2,0.89,8
113,2026-05-23,Bloomberg,Cardano upgrades improve smart contract efficiency,ADA network performance enhances significantly,ADA,technology,2,0.87,7
114,2026-05-24,CoinTelegraph,Crypto market experiences mixed signals,BTC and ETH move in opposite directions,BTC,market,1,0.76,5
115,2026-05-25,CoinDesk,Bitcoin long-term outlook remains strong,Analysts maintain bullish BTC projections,BTC,market,2,0.92,9
116,2026-05-26,Reuters,Ethereum layer 2 solutions gain adoption,Scaling networks reduce ETH congestion,ETH,technology,2,0.90,8
117,2026-05-27,Bloomberg,Solana usage increases in gaming sector,SOL integrated into blockchain gaming platforms,SOL,adoption,2,0.88,8
118,2026-05-28,CoinTelegraph,Crypto investors remain cautious amid volatility,Market uncertainty affects short-term sentiment,BTC,sentiment,0,0.82,6
119,2026-05-29,CoinDesk,Bitcoin ETF inflows continue rising,Institutional demand for BTC remains strong,BTC,adoption,2,0.94,9
120,2026-05-30,Reuters,Ethereum ecosystem shows strong developer growth,ETH attracts new blockchain engineers,ETH,development,2,0.90,8
121,2026-05-31,Bloomberg,Solana network sees record transaction speed,SOL achieves improved scalability metrics,SOL,technology,2,0.87,8
122,2026-06-01,CoinTelegraph,Cardano community engagement increases significantly,ADA social activity rises across platforms,ADA,sentiment,2,0.85,7
123,2026-06-02,CoinDesk,Bitcoin consolidates after recent rally,BTC trades in stable range after gains,BTC,market,1,0.78,6
124,2026-06-03,Reuters,Ethereum continues dominance in DeFi sector,ETH remains leading platform for DeFi apps,ETH,defi,2,0.91,9
125,2026-06-04,Bloomberg,Solana attracts institutional partnerships,SOL ecosystem gains enterprise collaborations,SOL,adoption,2,0.89,8
126,2026-06-05,CoinTelegraph,Crypto market sentiment improves gradually,Investors show renewed optimism,BTC,sentiment,2,0.84,7
127,2026-06-06,CoinDesk,Bitcoin sees strong mining activity increase,BTC hash rate reaches new highs,BTC,technology,2,0.90,8
128,2026-06-07,Reuters,Ethereum upgrade reduces network latency,ETH improves transaction efficiency significantly,ETH,technology,2,0.92,9
129,2026-06-08,Bloomberg,Solana DeFi ecosystem expands rapidly,SOL protocols attract liquidity inflows,SOL,defi,2,0.88,8
130,2026-06-09,CoinTelegraph,Cardano sees stable long-term growth outlook,ADA maintains consistent development pace,ADA,market,2,0.86,7
131,2026-06-10,CoinDesk,Bitcoin faces minor bearish pressure,BTC experiences short-term selling pressure,BTC,market,0,0.85,7
132,2026-06-11,Reuters,Ethereum NFT activity increases again,ETH blockchain sees rising NFT transactions,ETH,adoption,2,0.89,8
133,2026-06-12,Bloomberg,Solana developer ecosystem continues expanding,SOL attracts new builders and projects,SOL,development,2,0.88,8
134,2026-06-13,CoinTelegraph,Crypto market remains balanced overall,No major volatility observed in assets,BTC,market,1,0.77,6
135,2026-06-14,CoinDesk,Bitcoin adoption in payments increases,BTC used more in merchant transactions,BTC,adoption,2,0.91,9
136,2026-06-15,Reuters,Ethereum remains strong in enterprise use cases,ETH integration expands across industries,ETH,adoption,2,0.90,8
137,2026-06-16,Bloomberg,Solana performance improvements continue,SOL network upgrades enhance reliability,SOL,technology,2,0.87,8
138,2026-06-17,CoinTelegraph,Cardano sees moderate ecosystem growth,ADA expands slowly but steadily,ADA,development,1,0.80,6
139,2026-06-18,CoinDesk,Bitcoin market sentiment stabilizes,BTC investors show reduced volatility expectations,BTC,sentiment,1,0.78,6
140,2026-06-19,Reuters,Ethereum staking demand increases further,More ETH locked in validation contracts,ETH,technology,2,0.91,8
141,2026-06-20,Bloomberg,Solana adoption grows in DeFi sector,SOL becomes more prominent in DeFi apps,SOL,defi,2,0.89,8
142,2026-06-21,CoinTelegraph,Crypto market shows mild correction phase,Assets decline slightly after rally,BTC,market,0,0.83,7
143,2026-06-22,CoinDesk,Bitcoin remains dominant in institutional portfolios,BTC continues to attract long-term investors,BTC,adoption,2,0.93,9
144,2026-06-23,Reuters,Ethereum ecosystem innovation accelerates,ETH developers launch new protocols,ETH,development,2,0.90,8
145,2026-06-24,Bloomberg,Solana sees increased NFT marketplace activity,SOL strengthens position in digital collectibles,SOL,adoption,2,0.88,8
146,2026-06-25,CoinTelegraph,Cardano maintains stable market position,ADA shows consistent performance,ADA,market,1,0.79,6
147,2026-06-26,CoinDesk,Bitcoin experiences strong upward trend,BTC price climbs steadily,BTC,market,2,0.94,9
148,2026-06-27,Reuters,Ethereum gas optimization continues,ETH users benefit from lower fees,ETH,technology,2,0.91,8
149,2026-06-28,Bloomberg,Solana ecosystem sees strong funding activity,SOL projects receive major investments,SOL,adoption,2,0.89,8
150,2026-06-29,CoinTelegraph,Crypto market ends month on positive note,Overall sentiment improves across assets,BTC,sentiment,2,0.90,8



151,2026-06-30,CoinDesk,Bitcoin holds steady after monthly rally,BTC maintains gains despite minor market pullback,BTC,market,2,0.88,8
152,2026-07-01,Reuters,Ethereum sees increased institutional staking,Large funds continue locking ETH for rewards,ETH,adoption,2,0.91,9
153,2026-07-02,CoinTelegraph,Solana network uptime improves further,SOL infrastructure shows higher reliability,SOL,technology,2,0.87,8
154,2026-07-03,Bloomberg,Cardano developer activity remains stable,ADA ecosystem continues gradual expansion,ADA,development,1,0.80,6
155,2026-07-04,CoinDesk,Crypto market enters consolidation phase,Prices stabilize across major assets,BTC,market,1,0.77,6
156,2026-07-05,Reuters,Bitcoin ETF demand continues rising,Institutional BTC inflows remain strong,BTC,adoption,2,0.93,9
157,2026-07-06,CoinTelegraph,Ethereum scaling solutions reduce fees significantly,Layer 2 usage improves ETH efficiency,ETH,technology,2,0.90,8
158,2026-07-07,Bloomberg,Solana DeFi TVL reaches new milestone,SOL ecosystem locks higher liquidity,SOL,defi,2,0.89,9
159,2026-07-08,CoinDesk,Cardano sees moderate price recovery,ADA gains slightly after market dip,ADA,market,2,0.82,7
160,2026-07-09,Reuters,Crypto sentiment turns cautiously positive,Investors regain confidence in market,BTC,sentiment,2,0.84,7
161,2026-07-10,CoinTelegraph,Bitcoin faces short-term volatility,BTC experiences minor price swings,BTC,market,0,0.85,7
162,2026-07-11,Bloomberg,Ethereum ecosystem expands in gaming sector,ETH adoption increases in blockchain games,ETH,adoption,2,0.88,8
163,2026-07-12,CoinDesk,Solana attracts new developer funding,SOL projects receive venture capital support,SOL,development,2,0.90,8
